fill_id,timestamp,order_id,client_id,side,quantity,price,capacity,venue,nbbo_bid,nbbo_ask
F-00001,2026-08-17T09:30:18.598,ORD-00001,CLIENT_A,SELL,100,244.81,PRINCIPAL,INTERNAL,244.80,244.83
F-00002,2026-08-17T09:30:30.896,ORD-00002,CLIENT_C,BUY,100,244.82,PRINCIPAL,INTERNAL,244.81,244.83
F-00003,2026-08-17T09:30:35.456,ORD-00002,CLIENT_C,BUY,400,244.80,PRINCIPAL,INTERNAL,244.78,244.81
F-00004,2026-08-17T09:30:42.364,ORD-00003,CLIENT_F,SELL,100,244.79,PRINCIPAL,INTERNAL,244.78,244.81
F-00005,2026-08-17T09:31:20.121,ORD-00004,CLIENT_E,BUY,100,244.85,PRINCIPAL,INTERNAL,244.84,244.86
F-00006,2026-08-17T09:31:50.431,ORD-00005,CLIENT_B,BUY,1500,244.96,PRINCIPAL,INTERNAL,244.95,244.97
F-00007,2026-08-17T09:32:13.765,ORD-00006,CLIENT_C,SELL,400,245.05,PRINCIPAL,INTERNAL,245.04,245.06
F-00008,2026-08-17T09:33:00.755,ORD-00007,CLIENT_D,BUY,2000,245.15,PRINCIPAL,INTERNAL,245.14,245.16
F-00009,2026-08-17T09:33:46.014,ORD-00010,CLIENT_E,SELL,500,245.06,PRINCIPAL,INTERNAL,245.05,245.07
F-00010,2026-08-17T09:34:42.540,ORD-00009,CLIENT_C,BUY,400,245.02,PRINCIPAL,INTERNAL,245.00,245.03
F-00011,2026-08-17T09:34:43.865,ORD-00012,CLIENT_E,BUY,200,245.01,PRINCIPAL,INTERNAL,245.00,245.02
F-00012,2026-08-17T09:35:10.973,ORD-00014,CLIENT_J,BUY,2400,244.92,PRINCIPAL,INTERNAL,244.91,244.93
F-00013,2026-08-17T09:35:10.973,ORD-00014,CLIENT_J,BUY,600,244.93,AGENCY,MARKET,244.91,244.93
F-00014,2026-08-17T09:35:23.802,ORD-00013,CLIENT_F,BUY,300,244.92,AGENCY,MARKET,244.90,244.92
F-00015,2026-08-17T09:36:33.611,ORD-00015,CLIENT_C,SELL,300,244.72,PRINCIPAL,INTERNAL,244.70,244.74
F-00016,2026-08-17T09:36:34.865,ORD-00016,CLIENT_A,SELL,700,244.70,PRINCIPAL,INTERNAL,244.68,244.72
F-00017,2026-08-17T09:37:01.326,ORD-00017,CLIENT_E,SELL,100,244.75,PRINCIPAL,INTERNAL,244.74,244.76
F-00018,2026-08-17T09:37:21.212,ORD-00019,CLIENT_D,BUY,700,244.82,PRINCIPAL,INTERNAL,244.80,244.84
F-00019,2026-08-17T09:37:28.928,ORD-00020,CLIENT_A,BUY,300,244.79,PRINCIPAL,INTERNAL,244.78,244.80
F-00020,2026-08-17T09:38:22.258,ORD-00022,CLIENT_B,SELL,200,244.77,PRINCIPAL,INTERNAL,244.76,244.78
F-00021,2026-08-17T09:38:32.634,ORD-00018,CLIENT_C,BUY,200,244.69,PRINCIPAL,INTERNAL,244.68,244.70
F-00022,2026-08-17T09:38:56.887,ORD-00024,CLIENT_J,SELL,200,244.68,PRINCIPAL,INTERNAL,244.67,244.69
F-00023,2026-08-17T09:41:28.701,ORD-00026,CLIENT_D,BUY,200,244.55,PRINCIPAL,INTERNAL,244.53,244.56
F-00024,2026-08-17T09:42:13.844,ORD-00027,CLIENT_C,BUY,100,244.61,PRINCIPAL,INTERNAL,244.59,244.62
F-00025,2026-08-17T09:42:13.844,ORD-00027,CLIENT_C,BUY,900,244.62,AGENCY,MARKET,244.59,244.62
F-00026,2026-08-17T09:42:22.161,ORD-00023,CLIENT_G,BUY,700,244.51,AGENCY,MARKET,244.48,244.51
F-00027,2026-08-17T09:42:24.788,ORD-00028,CLIENT_F,SELL,700,244.46,PRINCIPAL,INTERNAL,244.45,244.47
F-00028,2026-08-17T09:43:28.181,ORD-00029,CLIENT_F,SELL,100,244.53,PRINCIPAL,INTERNAL,244.52,244.55
F-00029,2026-08-17T09:44:09.098,ORD-00030,CLIENT_C,BUY,700,244.58,PRINCIPAL,INTERNAL,244.57,244.59
F-00030,2026-08-17T09:45:22.602,ORD-00032,CLIENT_B,SELL,100,244.56,PRINCIPAL,INTERNAL,244.56,244.57
F-00031,2026-08-17T09:46:07.436,ORD-00033,CLIENT_A,BUY,200,244.53,AGENCY,MARKET,244.52,244.53
F-00032,2026-08-17T09:46:13.091,ORD-00034,CLIENT_A,BUY,700,244.52,AGENCY,MARKET,244.51,244.52
F-00033,2026-08-17T09:46:48.870,ORD-00035,CLIENT_F,BUY,700,244.50,AGENCY,MARKET,244.49,244.50
F-00034,2026-08-17T09:46:53.859,ORD-00036,CLIENT_E,BUY,200,244.47,PRINCIPAL,INTERNAL,244.45,244.48
F-00035,2026-08-17T09:47:42.948,ORD-00037,CLIENT_F,SELL,500,244.46,PRINCIPAL,INTERNAL,244.45,244.47
F-00036,2026-08-17T09:47:58.258,ORD-00031,CLIENT_A,BUY,100,244.44,AGENCY,MARKET,244.43,244.44
F-00037,2026-08-17T09:48:27.344,ORD-00039,CLIENT_A,BUY,1000,244.42,PRINCIPAL,INTERNAL,244.41,244.43
F-00038,2026-08-17T09:48:30.166,ORD-00040,CLIENT_B,BUY,100,244.43,PRINCIPAL,INTERNAL,244.41,244.44
