trade_id,timestamp,side,quantity,price,position_after,nbbo_bid,nbbo_ask
H-0001,2026-08-17T09:35:10.973,BUY,600,244.93,-6000,244.91,244.93
H-0002,2026-08-17T09:35:23.802,BUY,300,244.92,-6000,244.90,244.92
H-0003,2026-08-17T09:42:13.844,BUY,900,244.62,-6000,244.59,244.62
H-0004,2026-08-17T09:42:22.161,BUY,700,244.51,-6000,244.48,244.51
H-0005,2026-08-17T09:48:27.344,BUY,500,244.43,-6000,244.41,244.43
H-0006,2026-08-17T09:48:30.166,BUY,100,244.44,-6000,244.41,244.44
H-0007,2026-08-17T09:50:26.310,BUY,1600,244.41,-6000,244.39,244.41
H-0008,2026-08-17T11:17:06.321,BUY,2100,244.15,-6000,244.11,244.15
H-0009,2026-08-17T11:17:09.766,BUY,1000,244.08,-6000,244.04,244.08
H-0010,2026-08-17T11:18:17.111,BUY,300,243.75,-6000,243.70,243.75
H-0011,2026-08-17T11:20:51.207,BUY,2600,243.04,-6000,242.99,243.04
H-0012,2026-08-17T11:22:29.306,BUY,100,242.90,-6000,242.86,242.90
H-0013,2026-08-17T11:22:30.912,BUY,1000,242.86,-6000,242.81,242.86
H-0014,2026-08-17T11:22:34.801,BUY,2000,242.76,-6000,242.70,242.76
H-0015,2026-08-17T11:24:00.606,BUY,1900,242.34,-6000,242.30,242.34
H-0016,2026-08-17T13:26:04.498,SELL,2600,242.69,6000,242.69,242.72
H-0017,2026-08-17T13:29:06.141,SELL,2000,242.67,6000,242.67,242.69
H-0018,2026-08-17T13:31:34.256,SELL,800,242.61,6000,242.61,242.63
H-0019,2026-08-17T13:44:07.984,SELL,1000,242.50,6000,242.50,242.53
H-0020,2026-08-17T13:45:27.901,SELL,200,242.45,6000,242.45,242.48
